State,Sector,Year,Employment (2012=100),Employment (percent change),Hourly labor compensation (2012=100),Hourly labor compensation (percent change),Hourly labor compensation cost ($/hour),Hourly labor compensation cost (percent change),Hours (2012=100),Hours (percent change),Implicit output deflator (2012=100),Implicit output deflator (percent change),Labor compensation (2012=100),Labor compensation (percent change),Labor compensation cost (million $),Labor compensation cost (percent change),Labor productivity (2012=100),Labor productivity (percent change),Number of employees (percent change),Number of employees (thousands),Number of hours (millions),Number of hours (percent change),Output (2012=100),Output (percent change),Output per employee (2012=100),Output per employee (percent change),Real hourly labor compensation (2012=100),Real hourly labor compensation (percent change),Real hourly labor compensation cost ($/hour),Real hourly labor compensation cost (percent change),Real labor compensation (2012=100),Real labor compensation (percent change),Real labor compensation cost (million $),Real labor compensation cost (percent change),Unit labor cost (2012=100),Unit labor cost (percent change),Value of production (million $),Value of production (percent change)
Alaska,Private Nonfarm,2019,100.718,1.8,116.413,3.3,44.198,3.3,99.072,3.0,96.797,-2.7,115.333,6.4,21121.386,6.4,96.424,0.5,1.8,281.032,477.886,3.0,95.53,3.5,94.849,1.6,105.21,1.5,38.023,1.5,104.233,4.5,18170.855,4.5,120.73,2.7,41595.986,0.8
Arizona,Private Nonfarm,2007,109.718,,89.706,,29.59,,110.408,,92.713,,99.042,,125609.651,,96.0,,,2495.687,4245.04,,105.991,,96.603,,96.117,,32.76,,106.121,,139067.626,,93.444,,205087.842,
Arizona,Private Nonfarm,2008,106.78,-2.7,93.582,4.3,30.868,4.3,106.592,-3.5,93.836,1.2,99.751,0.7,126508.792,0.7,95.705,-0.3,-2.7,2428.86,4098.325,-3.5,102.013,-3.8,95.536,-1.1,96.525,0.4,32.899,0.4,102.887,-3.0,134830.331,-3.0,97.782,4.6,199783.678,-2.6
Arizona,Private Nonfarm,2009,99.366,-6.9,94.179,0.6,31.065,0.6,98.884,-7.2,95.992,2.3,93.128,-6.6,118110.037,-6.6,93.854,-1.9,-6.9,2260.208,3801.978,-7.2,92.807,-9.0,93.399,-2.2,97.943,1.5,33.382,1.5,96.85,-5.9,126918.67,-5.9,100.347,2.6,185929.763,-6.9
Arizona,Private Nonfarm,2010,97.724,-1.7,94.524,0.4,31.179,0.4,98.05,-0.8,96.506,0.5,92.681,-0.5,117542.592,-0.5,96.174,2.5,-1.7,2222.856,3769.91,-0.8,94.298,1.6,96.495,3.3,98.128,0.2,33.445,0.2,96.215,-0.7,126085.933,-0.7,98.285,-2.1,189928.423,2.2
Arizona,Private Nonfarm,2011,98.006,0.3,97.778,3.4,32.252,3.4,98.133,0.1,97.962,1.5,95.952,3.5,121691.647,3.5,99.16,3.1,0.3,2229.271,3773.102,0.1,97.309,3.2,99.289,2.9,99.126,1.0,33.785,1.0,97.275,1.1,127475.835,1.1,98.606,0.3,198949.395,4.7
Arizona,Private Nonfarm,2012,100.0,2.0,100.0,2.3,32.985,2.3,100.0,1.9,100.0,2.1,100.0,4.2,126824.905,4.2,100.0,0.8,2.0,2274.631,3844.879,1.9,100.0,2.8,100.0,0.7,100.0,0.9,34.083,0.9,100.0,2.8,131046.656,2.8,100.0,1.4,208704.68,4.9
Arizona,Private Nonfarm,2013,103.328,3.3,102.027,2.0,33.654,2.0,101.836,1.8,101.583,1.6,103.901,3.9,131772.063,3.9,98.659,-1.3,3.3,2350.325,3915.477,1.8,100.471,0.5,97.235,-2.8,101.164,1.2,34.48,1.2,103.021,3.0,135005.802,3.0,103.414,3.4,213006.482,2.1
Arizona,Private Nonfarm,2014,104.98,1.6,105.103,3.0,34.669,3.0,103.233,1.4,103.513,1.9,108.501,4.4,137606.387,4.4,99.372,0.7,1.6,2387.9,3969.194,1.4,102.585,2.1,97.719,0.5,103.009,1.8,35.109,1.8,106.339,3.2,139353.868,3.2,105.767,2.3,221621.937,4.0
Arizona,Private Nonfarm,2015,107.989,2.9,106.081,0.9,34.991,0.9,107.509,4.1,105.491,1.9,114.047,5.1,144639.604,5.1,98.193,-1.2,2.9,2456.36,4133.61,4.1,105.567,2.9,97.757,0.0,103.69,0.7,35.341,0.7,111.477,4.8,146086.945,4.8,108.033,2.1,232419.801,4.9
Arizona,Private Nonfarm,2016,111.639,3.4,108.514,2.3,35.794,2.3,109.22,1.6,107.046,1.5,118.519,3.9,150311.78,3.9,99.851,1.7,3.4,2539.382,4199.363,1.6,109.057,3.3,97.687,-0.1,105.154,1.4,35.84,1.4,114.849,3.0,150505.138,3.0,108.676,0.6,243644.176,4.8
Arizona,Private Nonfarm,2017,113.958,2.1,111.533,2.8,36.79,2.8,113.471,3.9,108.607,1.5,126.557,6.8,160505.704,6.8,99.934,0.1,2.1,2592.116,4362.805,3.9,113.395,4.0,99.507,1.9,105.508,0.3,35.961,0.3,119.721,4.2,156889.859,4.2,111.607,2.7,257031.804,5.5
Arizona,Private Nonfarm,2018,117.668,3.3,114.841,3.0,37.881,3.0,117.629,3.7,110.791,2.0,135.086,6.7,171323.161,6.7,100.956,1.0,3.3,2676.522,4522.684,3.7,118.754,4.7,100.922,1.4,105.718,0.2,36.032,0.2,124.355,3.9,162962.531,3.9,113.753,1.9,274589.565,6.8
Arizona,Private Nonfarm,2019,120.996,2.8,119.813,4.3,39.521,4.3,119.981,2.0,112.657,1.7,143.752,6.4,182313.488,6.4,102.495,1.5,2.8,2752.211,4613.115,2.0,122.974,3.6,101.635,0.7,108.335,2.5,36.924,2.5,129.981,4.5,170335.717,4.5,116.896,2.8,289138.439,5.3
Arkansas,Private Nonfarm,2007,105.137,,87.31,,25.112,,104.563,,91.749,,91.295,,46142.332,,93.192,,,1093.518,1837.477,,97.445,,92.683,,97.927,,32.185,,102.395,,59139.925,,93.688,,76608.702,
Arkansas,Private Nonfarm,2008,104.654,-0.5,88.97,1.9,25.589,1.9,104.519,0.0,93.949,2.4,92.99,1.9,46999.298,1.9,92.653,-0.6,-0.5,1088.487,1836.696,0.0,96.84,-0.6,92.534,-0.2,96.06,-1.9,31.572,-1.9,100.401,-1.9,57987.778,-1.9,96.025,2.5,77958.632,1.8
Arkansas,Private Nonfarm,2009,98.578,-5.8,92.637,4.1,26.644,4.1,97.909,-6.3,95.449,1.6,90.7,-2.5,45841.711,-2.5,94.794,2.3,-5.8,1025.29,1720.544,-6.3,92.812,-4.2,94.151,1.7,100.691,4.8,33.094,4.8,98.586,-1.8,56939.77,-1.8,97.724,1.8,75908.917,-2.6
Arkansas,Private Nonfarm,2010,97.738,-0.9,93.51,0.9,26.895,0.9,97.501,-0.4,96.418,1.0,91.173,0.5,46080.819,0.5,99.418,4.9,-0.9,1016.562,1713.362,-0.4,96.933,4.4,99.176,5.3,98.687,-2.0,32.435,-2.0,96.221,-2.4,55573.645,-2.4,94.058,-3.8,80083.712,5.5
Arkansas,Private Nonfarm,2011,100.0,2.3,95.673,2.3,27.517,2.3,99.835,2.4,97.952,1.6,95.515,4.8,48275.474,4.8,99.99,0.6,2.3,1040.088,1754.377,2.4,99.825,3.0,99.824,0.7,98.015,-0.7,32.214,-0.7,97.853,1.7,56516.105,1.7,95.683,1.7,83785.484,4.6
Arkansas,Private Nonfarm,2012,100.0,0.0,100.0,4.5,28.762,4.5,100.0,0.2,100.0,2.1,100.0,4.7,50542.19,4.7,100.0,0.0,0.0,1040.084,1757.284,0.2,100.0,0.2,100.0,0.2,100.0,2.0,32.867,2.0,100.0,2.2,57756.406,2.2,100.0,4.5,85687.275,2.3
Arkansas,Private Nonfarm,2013,99.396,-0.6,101.788,1.8,29.276,1.8,98.981,-1.0,101.984,2.0,100.751,0.8,50921.766,0.8,103.466,3.5,-0.6,1033.805,1739.375,-1.0,102.412,2.4,103.034,3.0,100.303,0.3,32.966,0.3,99.281,-0.7,57341.011,-0.7,98.378,-1.6,89494.925,4.4
Arkansas,Private Nonfarm,2014,100.126,0.7,104.334,2.5,30.008,2.5,99.83,0.9,103.792,1.8,104.157,3.4,52643.056,3.4,104.547,1.0,0.7,1041.394,1754.29,0.9,104.369,1.9,104.238,1.2,102.144,1.8,33.572,1.8,101.97,2.7,58894.262,2.7,99.797,1.4,92822.402,3.7
Arkansas,Private Nonfarm,2015,103.295,3.2,106.709,2.3,30.691,2.3,101.581,1.8,104.111,0.3,108.396,4.1,54785.8,4.1,104.194,-0.3,3.2,1074.353,1785.069,1.8,105.842,1.4,102.465,-1.7,103.703,1.5,34.084,1.5,105.343,3.3,60842.093,3.3,102.414,2.6,94421.089,1.7
Arkansas,Private Nonfarm,2016,105.268,1.9,108.055,1.3,31.078,1.3,103.04,1.4,105.062,0.9,111.34,2.7,56273.757,2.7,103.741,-0.4,1.9,1094.875,1810.706,1.4,106.895,1.0,101.546,-0.9,104.497,0.8,34.345,0.8,107.674,2.2,62188.488,2.2,104.158,1.7,96231.654,1.9
Arkansas,Private Nonfarm,2017,106.561,1.2,109.364,1.2,31.455,1.2,106.236,3.1,106.669,1.5,116.183,4.3,58721.436,4.3,101.477,-2.2,1.2,1108.323,1866.862,3.1,107.805,0.9,101.168,-0.4,104.291,-0.2,34.277,-0.2,110.794,2.9,63990.749,2.9,107.771,3.5,98535.64,2.4
Arkansas,Private Nonfarm,2018,107.508,0.9,110.925,1.4,31.904,1.4,107.75,1.4,109.207,2.4,119.522,2.9,60409.18,2.9,102.174,0.7,0.9,1118.172,1893.481,1.4,110.093,2.1,102.405,1.2,104.456,0.2,34.331,0.2,112.552,1.6,65005.919,1.6,108.565,0.7,103021.18,4.6
Arkansas,Private Nonfarm,2019,108.776,1.2,115.032,3.7,33.085,3.7,108.683,0.9,111.03,1.7,125.02,4.6,63187.749,4.6,103.842,1.6,1.2,1131.365,1909.868,0.9,112.859,2.5,103.753,1.3,106.399,1.9,34.97,1.9,115.637,2.7,66787.946,2.7,110.775,2.0,107372.671,4.2
California,Private Nonfarm,2007,106.012,,87.919,,37.131,,107.506,,93.946,,94.518,,932029.606,,89.882,,,14972.923,25100.84,,96.628,,91.148,,97.426,,36.566,,104.739,,917842.397,,97.817,,1511977.88,
California,Private Nonfarm,2008,103.711,-2.2,90.107,2.5,38.056,2.5,103.976,-3.3,94.967,1.1,93.69,-0.9,923865.66,-0.9,92.927,3.4,-2.2,14647.997,24276.771,-3.3,96.623,0.0,93.165,2.2,96.12,-1.3,36.076,-1.3,99.943,-4.6,875812.404,-4.6,96.965,-0.9,1528336.123,1.1
California,Private Nonfarm,2009,96.86,-6.6,91.172,1.2,38.505,1.2,95.854,-7.8,95.105,0.1,87.393,-6.7,861763.455,-6.7,96.248,3.6,-6.6,13680.314,22380.421,-7.8,92.258,-4.5,95.249,2.2,97.745,1.7,36.686,1.7,93.693,-6.3,821044.918,-6.3,94.727,-2.3,1461408.698,-4.4
California,Private Nonfarm,2010,96.058,-0.8,93.542,2.6,39.506,2.6,95.652,-0.2,96.107,1.1,89.475,2.4,882295.278,2.4,98.821,2.7,-0.8,13567.044,22333.031,-0.2,94.524,2.5,98.403,3.3,98.001,0.3,36.782,0.3,93.74,0.1,821455.253,0.0,94.658,-0.1,1513087.502,3.5
California,Private Nonfarm,2011,97.327,1.3,96.312,3.0,40.676,3.0,97.57,2.0,97.997,2.0,93.972,5.0,926638.827,5.0,98.937,0.1,1.3,13746.346,22781.032,2.0,96.533,2.1,99.184,0.8,98.01,0.0,36.785,0.0,95.628,2.0,838006.188,2.0,97.347,2.8,1575627.087,4.1
California,Private Nonfarm,2012,100.0,2.7,100.0,3.8,42.234,3.8,100.0,2.5,100.0,2.0,100.0,6.4,986083.388,6.4,100.0,1.1,2.7,14123.832,23348.329,2.5,100.0,3.6,100.0,0.8,100.0,2.0,37.532,2.0,100.0,4.6,876315.163,4.6,100.0,2.7,1665578.965,5.7
California,Private Nonfarm,2013,103.111,3.1,100.919,0.9,42.622,0.9,103.618,3.6,101.621,1.6,104.57,4.6,1031147.878,4.6,100.327,0.3,3.1,14563.244,24192.998,3.6,103.956,4.0,100.82,0.8,99.271,-0.7,37.258,-0.7,102.862,2.9,901394.176,2.9,100.59,0.6,1759537.501,5.6
California,Private Nonfarm,2014,106.16,3.0,104.153,3.2,43.987,3.2,106.678,3.0,103.189,1.5,111.108,6.3,1095620.168,6.3,101.348,1.0,3.0,14993.837,24907.585,3.0,108.116,4.0,101.843,1.0,100.211,0.9,37.611,0.9,106.903,3.9,936809.357,3.9,102.768,2.2,1858191.027,5.6
California,Private Nonfarm,2015,108.782,2.5,108.082,3.8,45.647,3.8,110.038,3.1,104.68,1.4,118.932,7.0,1172771.208,7.0,103.774,2.4,2.5,15364.155,25692.142,3.1,114.192,5.6,104.973,3.1,103.732,3.5,38.933,3.5,114.145,6.8,1000273.133,6.8,104.151,1.3,1990963.443,7.1
California,Private Nonfarm,2016,111.845,2.8,110.301,2.1,46.584,2.1,112.484,2.2,105.793,1.1,124.071,4.3,1223441.679,4.3,104.542,0.7,2.8,15796.805,26263.161,2.2,117.593,3.0,105.14,0.2,103.799,0.1,38.958,0.1,116.757,2.3,1023160.28,2.3,105.508,1.3,2072071.901,4.1
California,Private Nonfarm,2017,114.274,2.2,115.087,4.3,48.605,4.3,115.073,2.3,107.161,1.3,132.434,6.7,1305911.349,6.7,107.384,2.7,2.2,16139.881,26867.638,2.3,123.57,5.1,108.135,2.8,105.781,1.9,39.702,1.9,121.726,4.3,1066703.316,4.3,107.173,1.6,2205549.238,6.4
California,Private Nonfarm,2018,116.753,2.2,119.573,3.9,50.5,3.9,117.956,2.5,109.145,1.9,141.043,6.5,1390799.081,6.5,109.978,2.4,2.2,16489.992,27540.643,2.5,129.726,5.0,111.111,2.8,107.023,1.2,40.168,1.2,126.24,3.7,1106260.949,3.7,108.724,1.4,2358274.444,6.9
California,Private Nonfarm,2019,117.396,0.6,124.998,4.5,52.791,4.5,117.661,-0.3,111.101,1.8,147.074,4.3,1450273.605,4.3,113.675,3.4,0.6,16580.879,27471.972,-0.2,133.752,3.1,113.932,2.5,109.891,2.7,41.245,2.7,129.3,2.4,1133074.251,2.4,109.961,1.1,2475031.973,5.0
Colorado,Private Nonfarm,2007,103.415,,89.359,,33.297,,103.563,,93.821,,92.543,,122309.59,,93.717,,,2188.92,3673.313,,97.057,,93.852,,99.889,,36.938,,103.448,,135683.741,,95.35,,197006.464,
Colorado,Private Nonfarm,2008,103.574,0.2,91.886,2.8,34.238,2.8,103.541,0.0,96.34,2.7,95.14,2.8,125740.957,2.8,94.263,0.6,0.2,2192.279,3672.508,0.0,97.601,0.6,94.233,0.4,98.876,-1.0,36.563,-1.0,102.377,-1.0,134278.945,-1.0,97.478,2.2,203431.622,3.3
Colorado,Private Nonfarm,2009,97.357,-6.0,94.323,2.7,35.146,2.7,95.512,-7.8,95.005,-1.4,90.089,-5.3,119066.255,-5.3,99.315,5.4,-6.0,2060.69,3387.739,-7.8,94.857,-2.8,97.433,3.4,101.122,2.3,37.394,2.3,96.584,-5.7,126680.662,-5.7,94.974,-2.6,194972.832,-4.2
Colorado,Private Nonfarm,2010,96.059,-1.3,96.464,2.3,35.944,2.3,94.427,-1.1,96.543,1.6,91.089,1.1,120386.818,1.1,101.264,2.0,-1.3,2033.224,3349.27,-1.1,95.621,0.8,99.544,2.2,101.89,0.8,37.678,0.8,96.213,-0.4,126193.23,-0.4,95.26,0.3,199724.643,2.4
Colorado,Private Nonfarm,2011,98.031,2.1,97.887,1.5,36.475,1.5,96.574,2.3,98.481,2.0,94.533,3.8,124939.566,3.8,100.883,-0.4,2.1,2074.967,3425.389,2.3,97.426,1.9,99.383,-0.2,99.758,-2.1,36.889,-2.1,96.34,0.1,126360.643,0.1,97.031,1.9,207579.228,3.9
Colorado,Private Nonfarm,2012,100.0,2.0,100.0,2.2,37.262,2.2,100.0,3.5,100.0,1.5,100.0,5.8,132164.515,5.8,100.0,-0.9,2.0,2116.634,3546.922,3.5,100.0,2.6,100.0,0.6,100.0,0.2,36.979,0.2,100.0,3.8,131160.884,3.8,100.0,3.1,216349.586,4.2
Colorado,Private Nonfarm,2013,102.813,2.8,101.678,1.7,37.887,1.7,102.467,2.5,101.877,1.9,104.187,4.2,137697.83,4.2,101.524,1.5,2.8,2176.181,3634.442,2.5,104.03,4.0,101.183,1.2,99.213,-0.8,36.688,-0.8,101.661,1.7,133339.172,1.7,100.151,0.2,229292.219,6.0
Colorado,Private Nonfarm,2014,105.853,3.0,106.201,4.4,39.572,4.4,104.992,2.5,103.341,1.4,111.502,7.0,147366.538,7.0,104.367,2.8,3.0,2240.518,3723.971,2.5,109.576,5.3,103.518,2.3,101.998,2.8,37.718,2.8,107.089,5.3,140459.26,5.3,101.758,1.6,244989.039,6.8
Colorado,Private Nonfarm,2015,109.175,3.1,109.853,3.4,40.933,3.4,106.368,1.3,101.993,-1.3,116.848,4.8,154432.079,4.8,107.77,3.3,3.1,2310.841,3772.803,1.3,114.634,4.6,105.0,1.4,105.025,3.0,38.837,3.0,111.713,4.3,146524.232,4.3,101.932,0.2,252951.622,3.3
Colorado,Private Nonfarm,2016,111.593,2.2,112.069,2.0,41.759,2.0,107.82,1.4,102.867,0.9,120.832,3.4,159697.471,3.4,108.648,0.8,2.2,2362.015,3824.289,1.4,117.144,2.2,104.974,0.0,106.512,1.4,39.387,1.4,114.841,2.8,150626.333,2.8,103.149,1.2,260707.982,3.1
Colorado,Private Nonfarm,2017,114.517,2.6,117.084,4.5,43.628,4.5,110.036,2.1,104.937,2.0,128.835,6.6,170274.043,6.6,111.341,2.5,2.6,2423.902,3902.892,2.1,122.516,4.6,106.985,1.9,108.439,1.8,40.099,1.8,119.322,3.9,156503.964,3.9,105.158,1.9,278148.11,6.7
Colorado,Private Nonfarm,2018,118.311,3.3,120.317,2.8,44.832,2.8,114.18,3.8,107.68,2.6,137.378,6.6,181564.379,6.6,111.486,0.1,3.3,2504.209,4049.858,3.8,127.294,3.9,107.593,0.6,109.21,0.7,40.385,0.7,124.696,4.5,163551.85,4.5,107.921,2.6,296550.466,6.6
Colorado,Private Nonfarm,2019,119.957,1.4,128.229,6.6,47.78,6.6,114.671,0.4,108.785,1.0,147.042,7.0,194337.797,7.0,115.321,3.4,1.4,2539.051,4067.308,0.4,132.24,3.9,110.239,2.5,114.324,4.7,42.276,4.7,131.097,5.1,171948.078,5.1,111.194,3.0,311233.855,5.0
Connecticut,Private Nonfarm,2007,103.51,,92.572,,43.406,,104.239,,91.05,,96.497,,113866.58,,104.177,,,1586.086,2623.291,,108.594,,104.911,,101.371,,43.672,,105.669,,114564.395,,88.86,,197308.8,
